site,division,category,line,model_name,recipe_group,uniqueid,product_code,model_complete,char_name,char_time,char_value
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-12 21:44:40,18066.637
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-13 01:54:20,22789.889
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-13 04:45:05,19373.918
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-13 08:49:10,5344.213
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-14 01:52:15,66.592026
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Peso_avg,2023-02-14 05:03:15,26270.773
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-11 10:19:15,0.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-11 13:03:05,63897.484
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-11 23:45:50,66975.87
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-12 06:45:25,62665.25
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-12 09:21:50,64876.69
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-12 18:21:05,63586.004
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-12 21:44:40,62073.35
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-13 01:54:20,60483.406
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-13 04:45:05,61714.633
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-13 08:49:10,61407.76
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-14 01:52:15,25529.963
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Densidad_max,2023-02-14 05:03:15,68504.29
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-11 10:19:15,0.23433232
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-11 13:03:05,1.2375603
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-11 23:45:50,1.2883555
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-12 06:45:25,1.9153359
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-12 09:21:50,1.2608618
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-12 18:21:05,1.7027795
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-12 21:44:40,1.651462
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-13 01:54:20,1.7888856
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-13 04:45:05,1.6761358
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-13 08:49:10,1.3006858
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-14 01:52:15,0.12509742
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_avg,2023-02-14 05:03:15,1.7194914
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-11 10:19:15,0.23437501
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_3.Recirculacion.Presion_max,2023-02-11 13:03:05,2.5260417
